# z b_1^S
0.000000e+00 7.500000e-01
5.000000e-02 7.775000e-01
1.000000e-01 8.050000e-01
1.500000e-01 8.325000e-01
2.000000e-01 8.600000e-01
2.500000e-01 8.875000e-01
3.000000e-01 9.150000e-01
3.500000e-01 9.425000e-01
4.000000e-01 9.700000e-01
4.500000e-01 9.975000e-01
5.000000e-01 1.025000e+00
5.500000e-01 1.052500e+00
6.000000e-01 1.080000e+00
6.500000e-01 1.107500e+00
7.000000e-01 1.135000e+00
7.500000e-01 1.162500e+00
8.000000e-01 1.190000e+00
8.500000e-01 1.217500e+00
9.000000e-01 1.245000e+00
9.500000e-01 1.272500e+00
1.000000e+00 1.300000e+00
1.050000e+00 1.327500e+00
1.100000e+00 1.355000e+00
1.150000e+00 1.382500e+00
1.200000e+00 1.410000e+00
1.250000e+00 1.437500e+00
1.300000e+00 1.465000e+00
1.350000e+00 1.492500e+00
1.400000e+00 1.520000e+00
1.450000e+00 1.547500e+00
1.500000e+00 1.575000e+00
1.550000e+00 1.602500e+00
1.600000e+00 1.630000e+00
1.650000e+00 1.657500e+00
1.700000e+00 1.685000e+00
1.750000e+00 1.712500e+00
1.800000e+00 1.740000e+00
1.850000e+00 1.767500e+00
1.900000e+00 1.795000e+00
1.950000e+00 1.822500e+00
2.000000e+00 1.850000e+00
2.050000e+00 1.877500e+00
2.100000e+00 1.905000e+00
2.150000e+00 1.932500e+00
2.200000e+00 1.960000e+00
2.250000e+00 1.987500e+00
2.300000e+00 2.015000e+00
2.350000e+00 2.042500e+00
2.400000e+00 2.070000e+00
2.450000e+00 2.097500e+00
2.500000e+00 2.125000e+00
2.550000e+00 2.152500e+00
2.600000e+00 2.180000e+00
2.650000e+00 2.207500e+00
2.700000e+00 2.235000e+00
2.750000e+00 2.262500e+00
2.800000e+00 2.290000e+00
2.850000e+00 2.317500e+00
2.900000e+00 2.345000e+00
2.950000e+00 2.372500e+00
3.000000e+00 2.400000e+00
3.050000e+00 2.427500e+00
3.100000e+00 2.455000e+00
3.150000e+00 2.482500e+00
3.200000e+00 2.510000e+00
3.250000e+00 2.537500e+00
3.300000e+00 2.565000e+00
3.350000e+00 2.592500e+00
3.400000e+00 2.620000e+00
3.450000e+00 2.647500e+00
3.500000e+00 2.675000e+00
3.550000e+00 2.702500e+00
3.600000e+00 2.730000e+00
3.650000e+00 2.757500e+00
3.700000e+00 2.785000e+00
3.750000e+00 2.812500e+00
3.800000e+00 2.840000e+00
3.850000e+00 2.867500e+00
3.900000e+00 2.895000e+00
3.950000e+00 2.922500e+00
4.000000e+00 2.950000e+00
4.050000e+00 2.977500e+00
4.100000e+00 3.005000e+00
4.150000e+00 3.032500e+00
4.200000e+00 3.060000e+00
4.250000e+00 3.087500e+00
4.300000e+00 3.115000e+00
4.350000e+00 3.142500e+00
4.400000e+00 3.170000e+00
4.450000e+00 3.197500e+00
4.500000e+00 3.225000e+00
4.550000e+00 3.252500e+00
4.600000e+00 3.280000e+00
4.650000e+00 3.307500e+00
4.700000e+00 3.335000e+00
4.750000e+00 3.362500e+00
4.800000e+00 3.390000e+00
4.850000e+00 3.417500e+00
4.900000e+00 3.445000e+00
4.950000e+00 3.472500e+00
5.000000e+00 3.500000e+00
5.050000e+00 3.527500e+00
5.100000e+00 3.555000e+00
5.150000e+00 3.582500e+00
5.200000e+00 3.610000e+00
5.250000e+00 3.637500e+00
5.300000e+00 3.665000e+00
5.350000e+00 3.692500e+00
5.400000e+00 3.720000e+00
5.450000e+00 3.747500e+00
5.500000e+00 3.775000e+00
5.550000e+00 3.802500e+00
5.600000e+00 3.830000e+00
5.650000e+00 3.857500e+00
5.700000e+00 3.885000e+00
5.750000e+00 3.912500e+00
5.800000e+00 3.940000e+00
5.850000e+00 3.967500e+00
5.900000e+00 3.995000e+00
5.950000e+00 4.022500e+00
6.000000e+00 4.050000e+00
